#nl01,nnodes,Totals1710,Totals1709
nl01,2,  77.9,  77.9
nl01,4,  83.3,  83.3
nl01,8,  96.9,  96.9
nl01,16, 132.3, 132.3
nl01,32, 190.0, 190.0
nl01,64, 312.7, 312.7
nl01,128, 626.7, 635.4
nl01,256,1225.3,

#nl02,nnodes,Totals1710,Totals1709
nl02,2, 469.1, 469.1
nl02,4, 468.9, 468.9
nl02,8, 468.1, 468.1
nl02,16, 505.2, 505.2
nl02,32, 638.5, 638.5
nl02,64,1157.1,1157.1
nl02,128,1715.2,2156.4
nl02,256,2420.4,

#nl03,nnodes,Totals1710,Totals1709
nl03,4,6436.0,6436.0
nl03,8,6326.7,6326.7
nl03,16,6075.7,6075.7
nl03,32,6774.4,6774.4
nl03,64,8699.7,8699.7
nl03,128,11694.0,11694.0
nl03,256,15407.0,18356.0
nl03,512,22789.0,30008.0

#strong,nnodes,Totals1710,Totals1709
strong,256,71936.0,71177.0
strong,512,81886.0,136820.0
strong,1024,265280.0,

#weak1,nnodes,Totals1710,Totals1709
weak1,12,4533.5,4533.5
weak1,24,4679.7,4679.7
weak1,48,4784.2,4882.2
weak1,96,6338.6,9872.0
weak1,192,13007.0,18318.0

#weak2,nnodes,Totals1710,Totals1709
weak2,24,9383.2,9383.2
weak2,48,9640.0,9640.0
weak2,96,9237.8,10621.0
weak2,192,11629.0,18237.0
weak2,384,25167.0,39514.0

#weak3,nnodes,Totals1710,Totals1709
weak3,36,14774.0,
weak3,48,14960.0,14960.0
weak3,72,15324.0,
weak3,96,19629.0,19629.0
weak3,144,14885.0,
weak3,192,19706.0,20608.0
weak3,288,17862.0,
weak3,384,23725.0,39693.0
weak3,576,37601.0,
weak3,768,51684.0,

#weak4,nnodes,Totals1710,Totals1709
weak4,48,18811.0,18811.0
weak4,96,20928.0,20928.0
weak4,192,20083.0,20448.0
weak4,384,23366.0,40512.0
weak4,768,53745.0,


#Test modes used

#nl01,nnodes,mode_Totals1710,mode_Totals1709
#nl01,2,HT2_r2_128,HT2_r2_128
#nl01,4,HT2_r2_256,HT2_r2_256
#nl01,8,HT2_r2_512,HT2_r2_512
#nl01,16,HT2_r2_1024,HT2_r2_1024
#nl01,32,HT2_r2_2048,HT2_r2_2048
#nl01,64,HT2_r2_4096,HT2_r2_4096
#nl01,128,HT2_o4_r2_4096,HT2_o8_2048
#nl01,256,HT2_o8_r2_4096,

#nl02,nnodes,mode_Totals1710,mode_Totals1709
#nl02,2,HT2_128,HT2_128
#nl02,4,HT2_256,HT2_256
#nl02,8,HT2_512,HT2_512
#nl02,16,HT2_1024,HT2_1024
#nl02,32,HT2_2048,HT2_2048
#nl02,64,HT2_4096,HT2_4096
#nl02,128,HT2_8192,noHT_8192
#nl02,256,HT2_o4_8192,

#nl03,nnodes,mode_Totals1710,mode_Totals1709
#nl03,4,HT2_r2_256,HT2_r2_256
#nl03,8,HT2_r2_512,HT2_r2_512
#nl03,16,HT2_r2_1024,HT2_r2_1024
#nl03,32,HT2_r2_2048,HT2_r2_2048
#nl03,64,HT2_r2_4096,HT2_r2_4096
#nl03,128,HT2_o8_2048,HT2_o8_2048
#nl03,256,HT2_o8_r2_4096,HT2_o8_4096
#nl03,512,HT2_o16_4096,HT2_o32_2048

#strong,nnodes,mode_Totals1710,mode_Totals1709
#strong,256,HT2_16384,HT2_16384
#strong,512,HT2_o4_16384,HT2_32768
#strong,1024,HT2_o4_32768,

#weak1,nnodes,mode_Totals1710,mode_Totals1709
#weak1,12,HT2_768,HT2_768
#weak1,24,HT2_1536,HT2_1536
#weak1,48,HT2_3072,noHT_3072
#weak1,96,HT2_o4_3072,noHT_6144
#weak1,192,HT2_o4_6144,noHT_12288

#weak2,nnodes,mode_Totals1710,mode_Totals1709
#weak2,24,HT2_1536,HT2_1536
#weak2,48,HT2_o8_768,HT2_o8_768
#weak2,96,HT2_6144,noHT_6144
#weak2,192,HT2_o4_6144,HT2_o8_3072
#weak2,384,HT2_o4_12288,HT2_24576

#weak3,nnodes,mode_Totals1710,mode_Totals1709
#weak3,36,noHT_2304,
#weak3,48,noHT_3072,noHT_3072
#weak3,72,HT2_4608,
#weak3,96,noHT_6144,noHT_6144
#weak3,144,noHT_9216,
#weak3,192,HT2_o4_6144,noHT_12288
#weak3,288,HT2_o4_9216,
#weak3,384,HT2_o4_12288,HT2_24576
#weak3,576,HT2_o4_18432,
#weak3,768,HT2_o4_24576,

#weak4,nnodes,mode_Totals1710,mode_Totals1709
#weak4,48,HT2_3072,HT2_3072
#weak4,96,HT2_6144,HT2_6144
#weak4,192,HT2_12288,HT2_12288
#weak4,384,HT2_o4_12288,HT2_24576
#weak4,768,HT2_o4_24576,

