#nl01,nnodes,Totals
nl01,4, 325.1
nl01,8, 338.1
nl01,16, 355.8
nl01,32, 386.4
nl01,64, 488.7
nl01,128, 789.4
nl01,256,1389.5
nl01,512,2669.1
nl01,1024,7232.5

#nl02,nnodes,Totals
nl02,8,1373.3
nl02,16,1466.1
nl02,32,1743.3
nl02,64,1925.1
nl02,128,2939.3
nl02,256,4206.1
nl02,512,6422.2
nl02,1024,13466.0

#nl03,nnodes,Totals
nl03,64,22436.0
nl03,128,27486.0
nl03,256,29713.0
nl03,512,43030.0
nl03,1024,60774.0

#strong,nnodes,Totals
strong,2048,343380.0
strong,4096,445510.0
strong,8192,853880.0

#weak1,nnodes,Totals
weak1,192,16553.0
weak1,384,22460.0
weak1,768,34719.0
weak1,1536,62047.0

#weak2,nnodes,Totals
weak2,384,36397.0
weak2,768,51430.0
weak2,1536,73060.0
weak2,3072,128250.0

#weak3,nnodes,Totals
weak3,768,90778.0
weak3,1536,104880.0
weak3,3072,161670.0
weak3,6144,293790.0

#weak4,nnodes,Totals
weak4,768,100990.0
weak4,1536,109620.0
weak4,3072,152130.0
weak4,6144,318810.0

